Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта;Количество отзывов
Смертельное оружие 2;Ричард Доннер;США;боевик, криминал, триллер;1989;248;8.48;0
Невозможное;Х.А. Байона;Испания;боевик, драма, триллер;2012;249;8.48;0
Легенды осени;Эдвард Цвик;США;вестерн, военный, драма, мелодрама;1994;250;8.48;0
Фарго;Джоэл Коэн, Итан Коэн;США;драма, криминал, триллер;1996;251;8.48;0
Мемуары гейши;Роб Маршалл;США;биографический, военный, драма, мелодрама;2005;252;8.48;0
С меня хватит!;Джоэл Шумахер;США, Франция, Великобритания;драма, триллер;1993;253;8.48;0
Выстрел в пустоту;Рик Роман Во;США;драма, криминал, триллер;2017;254;8.48;0
Идеальное убийство;Эндрю Дэвис;США;драма, мелодрама, триллер;1998;255;8.48;0
Слова;Брайан Клагман, Ли Стернтал;США;драма, мелодрама;2012;256;8.48;0
Миссия невыполнима 6: Последствия;Кристофер МакКуорри;США;боевик, приключения, триллер;2018;257;8.47;2
Помни;Кристофер Нолан;США;детектив, триллер;2000;258;8.47;2
Артист;Мишель Хазанавичус;Франция;драма, комедия, мелодрама;2011;259;8.47;0
Она;Спайк Джонз;США;драма, комедия, мелодрама, фантастика;2013;260;8.47;2
Пока не сыграл в ящик;Роб Рейнер;США;драма, комедия, приключения;2007;261;8.47;2
Мизери;Роб Рейнер;США, Канада;драма, триллер;1990;262;8.47;1
Полицейский из Беверли-Хиллз;Мартин Брест;США;боевик, драма, комедия, криминал, триллер;1984;263;8.47;1
Охотники за разумом;Ренни Харлин;США, Финляндия, Великобритания, Нидерланды;детектив, драма, триллер;2004;264;8.47;0
Семьянин;Бретт Рэтнер;США;драма, комедия, мелодрама, фэнтези;2000;265;8.47;0
В диких условиях;Шон Пенн;США;биографический, драма, приключения;2007;266;8.47;1
К-9: Собачья работа;Род Дэниэл;США;боевик, комедия, криминал;1989;267;8.47;0
Люди Икс: Дни минувшего будущего;Брайан Сингер;США;боевик, кинокомикс, фантастика;2014;268;8.46;5
Логан;Джеймс Мэнголд;США;боевик, драма, кинокомикс, триллер, фантастика;2017;269;8.46;2
Загадочная история Бенджамина Баттона;Дэвид Финчер;США;детектив, драма, мелодрама, фэнтези;2008;270;8.46;0
Шестое чувство;М. Найт Шьямалан;США;детектив, драма, мистика, триллер;1999;271;8.46;1
Идентификация Борна;Даг Лайман;США, Германия, Чехия;боевик, детектив, приключения, триллер;2002;272;8.46;0
Форсаж;Роб Коэн;Германия, США;боевик, драма, криминал, триллер;2001;273;8.46;2
Ford против Ferrari;Джеймс Мэнголд;США, Франция;биографический, боевик, драма, спорт;2019;274;8.46;1
Такси;Жерар Пирес;Франция;боевик, комедия, криминал;1998;275;8.46;0
Подмена;Клинт Иствуд;США;драма;2008;276;8.46;2
Апокалипсис;Мел Гибсон;США;боевик, драма, приключения;2006;277;8.45;0
Красота по-американски;Сэм Мендес;США;драма;1999;278;8.45;1
Схватка;Майкл Манн;США;боевик, драма, криминал, триллер;1995;279;8.45;0
Кровавый спорт;Ньют Арнольд;США;биографический, боевик, спорт;1988;280;8.45;0
В осаде;Эндрю Дэвис;США;боевик, драма, триллер;1992;281;8.45;0
Д`Артаньян и три мушкетера;Георгий Юнгвальд-Хилькевич;СССР;исторический, мюзикл, приключения;1979;282;8.45;0
За бортом;Гэрри Маршалл;США;комедия, мелодрама;1987;283;8.45;0
Троя;Вольфганг Петерсен;США, Великобритания, Мальта;боевик, исторический, мелодрама;2004;284;8.44;3
Я, робот;Алекс Пройас;США, Германия;боевик, детектив, триллер, фантастика;2004;285;8.44;0
Константин: Повелитель тьмы;Френсис Лоуренс;США, Германия;боевик, драма, кинокомикс, триллер, ужасы, фэнтези;2005;286;8.44;2
Одиннадцать друзей Оушена;Стивен Содерберг;США, Австралия;комедия, криминал, триллер;2001;287;8.44;0
Сияние;Стэнли Кубрик;США;мистика, триллер, ужасы;1980;288;8.44;1
Ультиматум Борна;Пол Гринграсс;США, Германия;боевик, детектив, приключения, триллер;2007;289;8.44;0
На гребне волны;Кэтрин Бигилоу;США;боевик, драма, криминал, приключения, спорт, триллер;1991;290;8.44;0
Догма;Кевин Смит;США;комедия, приключения, фэнтези;1999;291;8.44;0
Мышиная охота;Гор Вербински;США;боевик, комедия, семейный;1997;292;8.44;0
Афоня;Георгий Данелия;СССР;драма, комедия;1975;293;8.44;0
Голый пистолет 2 1/2: Запах страха;Дэвид Цукер;США;боевик, комедия, криминал;1991;294;8.44;0
Матч поинт;Вуди Аллен;США, Великобритания, Люксембург;драма, криминал, мелодрама;2005;295;8.44;0
Враг мой;Вольфганг Петерсен;США;боевик, драма, приключения, фантастика;1985;296;8.44;0
Короткое замыкание;Джон Бэдэм;США;детский, комедия, семейный, фантастика;1986;297;8.44;0
Бэтмен: начало;Кристофер Нолан;США;боевик, кинокомикс, криминал, приключения, триллер;2005;298;8.43;1
Знакомьтесь, Джо Блэк;Мартин Брест;США;детектив, драма, мелодрама, фэнтези;1998;299;8.43;1
Скала;Майкл Бэй;США;боевик, приключения, триллер;1996;300;8.43;1
Гонка;Рон Ховард;США, Германия, Великобритания;биографический, боевик, драма, спорт;2013;301;8.43;0
Пункт назначения;Джеймс Вонг;США, Канада;триллер, ужасы;2000;302;8.43;0
Трасса 60;Боб Гэйл;США, Канада;детектив, драма, комедия, приключения, фантастика, фэнтези;2002;303;8.43;1
12 стульев;Леонид Гайдай;СССР;комедия;1971;304;8.43;0
Сталкер;Андрей Тарковский;СССР, Германия (ФРГ);детектив, драма, приключения, фантастика, фэнтези;1979;305;8.43;0
Бесконечная история;Вольфганг Петерсен;Германия, США;детский, драма, приключения, семейный, фэнтези;1984;306;8.43;0
Неадекватные люди;Роман Каримов;Россия;комедия;2011;307;8.43;0
Тернер и Хуч;Роджер Споттисвуд;США;комедия, криминал, триллер;1989;308;8.43;0
День радио;Дмитрий Дьяченко;Россия;комедия;2008;309;8.43;0
Шерлок Холмс;Гай Ричи;США, Великобритания, Австралия;боевик, детектив, драма, криминал, приключения, триллер;2009;310;8.42;0
Жизнь Пи;Энг Ли;США, Китай;драма, приключения;2012;311;8.42;5
Люди Икс 2;Брайан Сингер;США;боевик, кинокомикс, приключения, триллер, фантастика;2003;312;8.42;1
Терминал;Стивен Спилберг;США;драма, комедия, мелодрама;2004;313;8.42;1
Типа крутые легавые;Эдгар Райт;Великобритания, Франция;боевик, детектив, комедия, криминал;2007;314;8.42;0
Враг государства;Тони Скотт;США;боевик, триллер;1998;315;8.42;0
Малхолланд Драйв;Дэвид Линч;США, Франция;детектив, криминал, мелодрама, триллер, фэнтези;2001;316;8.42;0
Лучшее предложение;Джузеппе Торнаторе;Италия;драма, мелодрама, триллер;2013;317;8.42;0
Кикбоксер;Марк ДиСалле, Дэвид Уорт;США;боевик, спорт;1989;318;8.42;0
Исходный код;Дункан Джонс;США, Франция;боевик, драма, триллер, фантастика;2011;319;8.41;1
Брюс Всемогущий;Том Шэдьяк;США;драма, комедия, фэнтези;2003;320;8.41;0
Большой Лебовски;Джоэл Коэн, Итан Коэн;США, Великобритания;комедия, криминал;1998;321;8.41;2
Кин-дза-дза!;Георгий Данелия;Россия;драма, комедия, фантастика;1986;322;8.41;0
Заводной апельсин;Стэнли Кубрик;США, Великобритания;драма, криминал, триллер, фантастика;1971;323;8.41;0
Олдбой;Пак Чхан-ук;Корея Южная;боевик, детектив, драма, триллер;2003;324;8.41;0
Приключения Электроника;Константин Бромберг;СССР;детский, криминал, приключения, семейный, фантастика;1979;325;8.41;0
Большой;Пенни Маршалл;США;комедия, мелодрама, семейный, фэнтези;1988;326;8.41;0
"Эдди ""Орел""";Декстер Флетчер;Великобритания, США, Германия;комедия, спорт;2016;327;8.41;0
Власть страха;Филлип Нойс;США, Канада;детектив, драма, триллер;1999;328;8.41;0
Гарри Поттер и Дары смерти: Часть 2;Дэвид Йэтс;США, Великобритания;детектив, драма, приключения, фэнтези;2011;329;8.4;4
Я - легенда;Френсис Лоуренс;США, Австралия;драма, триллер, ужасы, фантастика;2007;330;8.4;0
Первый мститель 3: Противостояние;Энтони Руссо, Джо Руссо;США;боевик, кинокомикс, триллер, фантастика;2016;331;8.4;2
Бегущий по лезвию 2049;Дени Вильнев;Великобритания, Канада, США;боевик, драма, фантастика;2017;332;8.4;4
Люди Икс;Брайан Сингер;США;боевик, кинокомикс, приключения, триллер, фантастика;2000;333;8.4;0
Рейд;Гарет Эванс;США, Индонезия;боевик, криминал, триллер;2011;334;8.4;1
Коммандо;Марк Л. Лестер;США;боевик;1985;335;8.4;0
Воин;Гэвин О`Коннор;США;боевик, драма, спорт;2011;336;8.4;1
В погоне за счастьем;Габриэле Муччино;США;биографический, драма;2006;337;8.4;0
Холодная гора;Энтони Мингелла;США;военный, драма, мелодрама;2003;338;8.4;0
Хулиганы;Лекси Александр;США, Великобритания;драма, криминал;2005;339;8.4;2
Утомленные солнцем;Никита Михалков;Россия, Франция;драма;1994;340;8.4;0
Приключения Буратино;Леонид Нечаев;СССР;детектив, комедия, мюзикл, приключения, семейный;1975;341;8.4;0
Анализируй это;Харольд Рэмис;США, Австралия;комедия, криминал;1999;342;8.4;0
Империя Солнца;Стивен Спилберг;США;боевик, военный, драма, исторический;1987;343;8.4;0
Человек-паук 2;Сэм Рейми;США;боевик, кинокомикс, криминал, триллер, фантастика;2004;344;8.39;0
Великий Гэтсби;Баз Лурман;США, Австралия;драма, мелодрама;2013;345;8.39;4
Другие;Алехандро Аменабар;США, Франция, Италия, Испания;детектив, мистика, триллер, ужасы;2001;346;8.39;0
Нефть;Пол Томас Андерсон;США;драма, триллер;2007;347;8.39;0
Ворошиловский стрелок;Станислав Говорухин;Россия;драма, криминал;1999;348;8.39;0
Гнев;Тони Скотт;США, Великобритания, Мексика;боевик, драма, криминал, приключения, триллер;2004;349;8.39;0
Поездка в Америку;Джон Лэндис;США;комедия, мелодрама;1988;350;8.39;0
Город Бога;Фернанду Мейреллис, Катя Люнд;Франция, Бразилия;драма, криминал, триллер;2002;351;8.39;0
Охотник;Дэниэл Неттхейм;Австралия;драма, приключения;2011;352;8.39;0
Миссия невыполнима 4: Протокол Фантом;Брэд Берд;США, ОАЭ;боевик, приключения, триллер;2011;353;8.38;2
Старикам тут не место;Итан Коэн, Джоэл Коэн;США;драма, криминал, триллер;2007;354;8.38;0
Эффект бабочки;Эрик Бресс, Дж. Макки Грубер;США;драма, триллер, фантастика, фэнтези;2004;355;8.38;1
Крепкий орешек 2;Ренни Харлин;США;боевик, триллер;1990;356;8.38;1
2001 год: Космическая одиссея;Стэнли Кубрик;США, Великобритания;детектив, приключения, фантастика;1968;357;8.38;0
Лжец, лжец;Том Шэдьяк;США;комедия, фэнтези;1997;358;8.38;0
Залечь на дно в Брюгге;Мартин МакДона;Великобритания, Бельгия;драма, комедия, криминал;2008;359;8.38;1
Изгоняющий дьявола;Уильям Фридкин;США;драма, триллер, ужасы;1973;360;8.38;0
Одаренная;Марк Уэбб;США;драма;2017;361;8.38;2
Монстр;Пэтти Дженкинс;Германия, США;биографический, драма, криминал, мелодрама;2003;362;8.38;1
Гарри Поттер и кубок огня;Майк Ньюэлл;США, Великобритания;приключения, семейный, фэнтези;2005;363;8.37;1
Звездный путь;Джей Джей Абрамс;США;боевик, приключения, фантастика;2009;364;8.37;0
Легенда №17;Николай Лебедев;Россия;биографический, драма, спорт;2013;365;8.37;1
Рестлер;Даррен Аронофски;США, Франция;драма, спорт;2008;366;8.37;1
Телефонная будка;Джоэл Шумахер;США;триллер;2002;367;8.37;0
Хоббит 2: Пустошь Смауга;Питер Джексон;США;приключения, семейный, фэнтези;2013;368;8.36;6
Шерлок Холмс 2: Игра теней;Гай Ричи;США;боевик, детектив, криминал, приключения, триллер;2011;369;8.36;1
Девушка с татуировкой дракона;Дэвид Финчер;США, Германия, Швеция, Великобритания;детектив, драма, криминал, триллер;2011;370;8.36;0
Бегущий по лезвию;Ридли Скотт;США, Сингапур;боевик, драма, триллер, фантастика;1982;371;8.36;0
"""V"" значит Вендетта";Джеймс МакТиг;Германия, США, Великобритания;боевик, кинокомикс, триллер, фантастика;2005;372;8.36;1
1408;Микаэль Хофстрем;США;драма, триллер, ужасы;2007;373;8.36;1
Царство небесное;Ридли Скотт;США, Великобритания, Германия, Испания;боевик, исторический, приключения;2005;374;8.36;2
Запах женщины;Мартин Брест;США;драма;1992;375;8.36;2
Лига справедливости Зака Снайдера;Зак Снайдер;США;боевик, кинокомикс, приключения, фантастика, фэнтези;2021;376;8.36;2
Ветреная река;Тейлор Шеридан;Великобритания, Канада, США;боевик, детектив, криминал, триллер;2017;377;8.36;2
Горячие головы;Джим Абрахамс;США;боевик, военный, комедия, мелодрама;1991;378;8.36;0
Охотники за головами;Мортен Тильдум;Германия, Норвегия;боевик, криминал, триллер;2011;379;8.36;1
Безумный Макс 4: Дорога ярости;Джордж Миллер;Австралия;боевик, приключения, триллер, фантастика;2015;380;8.35;4
"Отель ""Гранд Будапешт""";Уэс Андерсон;США;комедия, криминал, приключения;2014;381;8.35;0
Луна 2112;Дункан Джонс;Великобритания;триллер, фантастика;2009;382;8.35;1
Бездна;Джеймс Кэмерон;США;боевик, драма, приключения, триллер, фантастика;1989;383;8.35;1
Крепкий орешек 3;Джон МакТирнан;США;боевик, криминал, триллер;1995;384;8.35;1
Зеленая книга;Питер Фаррелли;США;биографический, драма, комедия, музыка;2018;385;8.35;2
Патриот;Роланд Эммерих;США, Германия;боевик, военный, драма, исторический;2000;386;8.35;0
Рокки 2;Сильвестр Сталлоне;США;боевик, спорт;1979;387;8.35;0
Вий;Георгий Кропачев, Константин Ершов;СССР;драма, комедия, ужасы, фэнтези;1967;388;8.35;0
Взрыв из прошлого;Хью Уилсон;США;драма, комедия, мелодрама;1999;389;8.35;0
Человек-паук;Сэм Рейми;США;боевик, кинокомикс, криминал, триллер, фантастика;2002;390;8.34;3
Город воров;Бен Аффлек;США;драма, криминал, триллер;2010;391;8.34;0
Знакомство с родителями;Джей Роач;США;комедия, мелодрама;2000;392;8.34;0
Дежа вю;Тони Скотт;США;боевик, драма, мелодрама, триллер, фантастика;2006;393;8.34;1
Крик;Уэс Крэйвен;США;детектив, криминал, триллер, ужасы;1996;394;8.34;0
Донни Браско;Майк Ньюэлл;США;биографический, драма, криминал;1997;395;8.34;0
Солярис;Андрей Тарковский;СССР;детектив, драма, мелодрама, приключения, фантастика;1972;396;8.34;1
Великолепная афера;Ридли Скотт;США;драма, комедия, криминал, триллер;2003;397;8.34;0
Дэнни Цепной пес;Луи Летерье;США, Франция, Великобритания;боевик, драма, криминал, приключения, триллер;2005;398;8.34;0
Между небом и землей;Марк Уотерс;США;комедия, мелодрама, фэнтези;2005;399;8.34;0
Социальная сеть;Дэвид Финчер;США;биографический, драма, исторический;2010;400;8.33;0
Изгой-один: Звездные Войны. Истории;Гарет Эдвардс;США;боевик, приключения, фантастика, фэнтези;2016;401;8.33;6
От заката до рассвета;Роберт Родригес;США;боевик, комедия, криминал, триллер, ужасы, фэнтези;1996;402;8.33;0
Эквилибриум;Курт Уиммер;США;боевик, триллер, фантастика;2002;403;8.33;2
Счастливое число Слевина;Пол МакГиган;США, Германия;драма, криминал, триллер;2006;404;8.33;0
Телохранитель;Мик Джексон;США;драма, мелодрама, музыка, триллер;1992;405;8.33;0
Красный дракон;Бретт Рэтнер;США, Германия;драма, криминал, триллер;2002;406;8.33;0
Герой;Чжан Имоу;Китай, Гонконг;боевик, военный, драма, исторический, приключения;2002;407;8.33;0
Голый пистолет 33 1/3: Последний выпад;Питер Сигал;США;боевик, комедия, криминал;1994;408;8.33;0
Мюнхен;Стивен Спилберг;США;биографический, драма, исторический, криминал, триллер;2005;409;8.33;0
Филадельфия;Джонатан Демме;США;драма;1993;410;8.33;0
Бриллиантовый полицейский;Лес Мэйфилд;США, Германия;боевик, комедия, криминал, триллер;1999;411;8.33;0
Король говорит!;Том Хупер;США, Великобритания, Австралия;биографический, драма, исторический;2010;412;8.32;1
Эдвард руки-ножницы;Тим Бертон;США;драма, комедия, мелодрама, фэнтези;1990;413;8.32;0
Превосходство Борна;Пол Гринграсс;Германия, США;боевик, детектив, приключения, триллер;2004;414;8.32;0
Пункт назначения 2;Дэвид Р. Эллис;США;триллер, ужасы;2003;415;8.32;0
Основной инстинкт;Пол Верховен;США, Франция;детектив, мелодрама, триллер, эротика;1992;416;8.32;0
Прислуга;Тейт Тейлор;США, Индия, ОАЭ;драма;2011;417;8.32;1
Подозрительные лица;Брайан Сингер;Германия, США;детектив, криминал, триллер;1995;418;8.32;0
8 миля;Кертис Хэнсон;США, Германия;драма, музыка;2002;419;8.32;0
Стартрек: Возмездие;Джей Джей Абрамс;США;боевик, приключения, фантастика;2013;420;8.31;1
Области тьмы;Нил Бергер;США;детектив, триллер;2011;421;8.31;3
Выживший;Алехандро Гонсалес Иньярриту;США;драма, исторический, приключения;2015;422;8.31;2
Миссия невыполнима;Брайан Де Пальма;США;боевик, приключения, триллер;1996;423;8.31;0
Звонок;Гор Вербински;США, Япония;триллер, ужасы;2002;424;8.31;0
Грязь;Джон С. Бейрд;Великобритания;драма, комедия, криминал;2013;425;8.31;0
Хозяин морей: На краю Земли;Питер Уир;США;боевик, военный, драма, приключения;2003;426;8.31;0
Бессонница;Кристофер Нолан;США;драма, криминал, триллер;2002;427;8.31;1
Поворот не туда;Роб Шмидт;США, Германия;триллер, ужасы;2003;428;8.31;0
Вавилон;Алехандро Гонсалес Иньярриту;США, Франция, Мексика;драма;2006;429;8.31;0
Волк;Майк Николс;США;драма, мелодрама, триллер, ужасы, фэнтези;1994;430;8.31;0
Магнолия;Пол Томас Андерсон;США;драма;1999;431;8.31;0
В осаде 2: Темная территория;Джеф Мерфи;США;боевик, триллер;1995;432;8.31;0
Крысиные бега;Джерри Цукер;США, Канада;комедия, приключения;2001;433;8.31;0
Невидимый гость;Ориол Паоло;Испания;детектив, криминал, триллер;2016;434;8.31;0
Трансформеры;Майкл Бэй;США;боевик, приключения, фантастика;2007;435;8.3;1
Мальчишник в Вегасе;Тодд Филлипс;США;комедия;2009;436;8.3;0
Звездный десант;Пол Верховен;США;боевик, приключения, триллер, фантастика;1997;437;8.3;0
Заложница;Пьер Морель;Франция;боевик, триллер;2008;438;8.3;0
Дракула Брэма Стокера;Френсис Форд Коппола;США;драма, мелодрама, триллер, ужасы, фэнтези;1992;439;8.3;0
Ворон;Алекс Пройас;США;боевик, криминал, мелодрама, триллер, фэнтези;1994;440;8.3;1
Зомби по имени Шон;Эдгар Райт;США, Франция, Великобритания;комедия, ужасы;2004;441;8.3;0
Час пик 2;Бретт Рэтнер;США;боевик, комедия, криминал, триллер;2001;442;8.3;0
Зловещие мертвецы;Сэм Рейми;США;ужасы;1981;443;8.3;2
Шоколад;Лассе Халльстрем;США, Великобритания;драма, комедия, мелодрама;2000;444;8.3;0
Горец;Рассел Малкэй;США, Великобритания;боевик, фэнтези;1986;445;8.3;0
Что гложет Гилберта Грейпа?;Лассе Халльстрем;США;драма, мелодрама;1993;446;8.3;0
Гордость и предубеждение;Джо Райт;Франция, Великобритания;драма, мелодрама;2005;447;8.29;1
Смертельное оружие 3;Ричард Доннер;США;боевик, криминал, триллер;1992;448;8.29;0
Зловещие мертвецы 3: Армия тьмы;Сэм Рейми;США;боевик, комедия, ужасы, фэнтези;1992;449;8.29;1
Кокаин;Тед Демме;США;биографический, драма, криминал;2001;450;8.29;0
Выкуп;Рон Ховард;США;криминал, триллер;1996;451;8.29;0
Еще одна из рода Болейн;Джастин Чадвик;Великобритания, США;драма, исторический, мелодрама;2008;452;8.29;0
Суд над чикагской семеркой;Аарон Соркин;США;драма, триллер;2020;453;8.29;1
Темный рыцарь 2: Возрождение легенды;Кристофер Нолан;США, Великобритания;боевик, драма, кинокомикс, криминал, триллер, фантастика;2012;454;8.28;6
Живая сталь;Шон Леви;США, Индия;боевик, семейный, фантастика;2011;455;8.28;4
Сонная лощина;Тим Бертон;Германия, США;детектив, триллер, ужасы, фэнтези;1999;456;8.28;0
Мумия возвращается;Стивен Соммерс;США;боевик, приключения, триллер, ужасы, фэнтези;2001;457;8.28;1
Джокер;Тодд Филлипс;США;драма, кинокомикс, криминал, приключения, триллер;2019;458;8.28;7
Далласский клуб покупателей;Жан-Марк Валле;США;драма;2013;459;8.28;2
Таксист;Мартин Скорсезе;США;драма, криминал, триллер;1976;460;8.28;1
Смерть ей к лицу;Роберт Земекис;США;комедия, фэнтези;1992;461;8.28;0
На игле;Дэнни Бойл;Великобритания;драма, комедия, криминал;1996;462;8.28;1
Невидимая сторона;Джон Ли Хэнкок;США;драма, спорт;2009;463;8.28;1
Бразилия;Терри Гиллиам;Великобритания;драма, комедия, фантастика, фэнтези;1985;464;8.28;0
Оправданная жестокость;Дэвид Кроненберг;Германия, США;драма, кинокомикс, криминал, триллер;2005;465;8.28;0
Миллионер из трущоб;Дэнни Бойл;США, Великобритания;драма, криминал, мелодрама;2008;466;8.27;0
Чего хотят женщины;Нэнси Майерс;США;комедия, мелодрама, фэнтези;2000;467;8.27;0
Сокровище нации;Джон Тартелтауб;США;боевик, детектив, драма, комедия, приключения, триллер;2004;468;8.27;0
Аноним;Роланд Эммерих;Германия, Великобритания;драма, триллер;2011;469;8.27;0
13-й воин;Джон МакТирнан, Майкл Крайтон;США;боевик, приключения, фэнтези;1999;470;8.27;1
Муха;Дэвид Кроненберг;США;драма, ужасы, фантастика;1986;471;8.27;0
Поцелуй дракона;Крис Наон;США, Франция;боевик, драма, криминал, триллер;2001;472;8.27;0
Слепая ярость;Филлип Нойс;США;боевик, драма, комедия, криминал, приключения, триллер;1989;473;8.27;0
127 часов;Дэнни Бойл;США, Великобритания;драма, исторический, приключения, триллер;2010;474;8.26;1
Челюсти;Стивен Спилберг;США;триллер, ужасы;1975;475;8.26;0
Суини Тодд, демон-парикмахер с Флит-стрит;Тим Бертон;Великобритания, США;драма, криминал, мюзикл, триллер, ужасы;2007;476;8.26;1
Страх и ненависть в Лас-Вегасе;Терри Гиллиам;США;драма, комедия;1998;477;8.26;0
Охотники за привидениями 2;Айван Рейтман;США;боевик, комедия, приключения, фантастика, фэнтези;1989;478;8.26;0
Линкольн для адвоката;Брэд Фурман;США;драма, криминал, триллер;2011;479;8.26;1
Неуязвимый;М. Найт Шьямалан;США;детектив, драма, триллер, фантастика;2000;480;8.26;2
Стрелок;Антуан Фукуа;США;боевик, детектив, криминал, триллер;2007;481;8.26;0
Аполлон 13;Рон Ховард;США;драма, исторический, приключения;1995;482;8.26;0
Сибирский цирюльник;Никита Михалков;Россия, Франция, Италия, Чехия;драма, мелодрама;1998;483;8.26;1
Машинист;Брэд Андерсон;Испания;детектив, драма, триллер;2004;484;8.26;0
Адаптация;Спайк Джонз;США;драма, комедия;2002;485;8.26;0
"007: Координаты ""Скайфолл""";Сэм Мендес;США, Великобритания;боевик, приключения, триллер;2012;486;8.25;3
Красотка;Гэрри Маршалл;США;драма, комедия, мелодрама;1990;487;8.25;0
Рок-н-рольщик;Гай Ричи;США;боевик, криминал;2008;488;8.25;0
Полицейская академия;Хью Уилсон;США;комедия, криминал;1984;489;8.25;0
Столкновение;Пол Хаггис;США, Германия;драма, криминал;2004;490;8.25;0
Волшебная страна;Марк Форстер;США, Великобритания;биографический, драма, семейный;2004;491;8.25;0
Матрица 2: Перезагрузка;Лана Вачовски, Лилли Вачовски;США, Австралия;боевик, приключения, триллер, фантастика;2003;492;8.24;0
Миссия невыполнима 5: Племя изгоев;Кристофер МакКуорри;США;боевик, приключения, триллер;2015;493;8.24;2
Исчезнувшая;Дэвид Финчер;США;драма, триллер;2014;494;8.24;2
Боец;Дэвид О. Расселл;США;биографический, драма, спорт;2010;495;8.24;0
Особое мнение;Стивен Спилберг;США;боевик, детектив, триллер, фантастика;2002;496;8.24;0
Черная дыра;Дэвид Туи;США, Австралия;боевик, приключения, триллер, ужасы, фантастика;2000;497;8.24;0
Паразиты;Пон Джун-хо;Корея Южная;драма, комедия, триллер;2019;498;8.24;1
Экипаж;Роберт Земекис;США;драма, триллер;2012;499;8.24;0
Гангстер;Ридли Скотт;США;драма, криминал;2007;500;8.24;0
