Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта;Количество отзывов
Планета обезьян: Революция;Мэтт Ривз;США;боевик, драма, фантастика;2014;752;7.96;3
Астерикс и Обеликс против Цезаря;Клод Зиди;Германия, Франция, Италия;кинокомикс, комедия, приключения, семейный, фэнтези;1999;753;7.96;0
Гравитация;Альфонсо Куарон;США, Великобритания;триллер, фантастика;2013;754;7.95;4
Бэтмен;Тим Бертон;США, Великобритания;боевик, кинокомикс, криминал, триллер, фантастика;1989;755;7.95;0
Апгрейд;Ли Уоннелл;Австралия;боевик, триллер, ужасы, фантастика;2018;756;7.95;2
Марли и я;Дэвид Фрэнкел;США;драма, комедия, мелодрама, семейный;2008;757;7.95;0
Никто не выжил;Рюхэй Китамура;США;триллер, ужасы;2012;758;7.95;1
Восставший из ада;Клайв Баркер;Великобритания;триллер, ужасы, фэнтези;1987;759;7.95;0
Лангольеры;Том Холланд;США;детектив, драма, триллер, ужасы, фантастика, фэнтези;1995;760;7.95;0
Другой мир;Лен Уайзман;США, Германия, Великобритания, Венгрия;боевик, триллер, ужасы, фэнтези;2003;761;7.94;1
Неуправляемый;Тони Скотт;США;боевик, драма, триллер;2010;762;7.94;0
Перевозчик;Луи Летерье, Кори Юэнь;США, Франция;боевик, криминал, триллер;2002;763;7.94;1
Убойные каникулы;Эли Крэйг;Канада;комедия;2010;764;7.94;1
Девятые врата;Роман Полански;США, Франция, Испания;детектив, триллер, ужасы, фэнтези;1999;765;7.94;1
12;Никита Михалков;Россия;военный, детектив, драма, криминал, триллер;2007;766;7.94;0
Тоня против всех;Крэйг Гиллеспи;США;биографический, драма, спорт;2017;767;7.94;2
Крадущийся тигр, затаившийся дракон;Энг Ли;США, Тайвань, Гонконг, Китай;боевик, драма, приключения, триллер;2000;768;7.94;1
Тор 3: Рагнарек;Тайка Вайтити;США;боевик, драма, кинокомикс, фэнтези;2017;769;7.93;5
Ярость;Дэвид Эйер;Великобритания;боевик, военный, драма;2014;770;7.93;1
Турецкий гамбит;Джаник Файзиев;Россия, Болгария;боевик, военный, детектив, приключения, триллер;2005;771;7.93;0
Без чувств;Пенелопа Сфирис;США;комедия, мелодрама;1998;772;7.93;0
Паранойя;Ди Джей Карузо;США;детектив, драма, криминал, триллер;2007;773;7.93;0
Роман с камнем;Роберт Земекис;США;боевик, комедия, мелодрама, приключения;1984;774;7.93;0
Неудержимые;Сильвестр Сталлоне;США;боевик, приключения, триллер;2010;775;7.92;0
Дэдпул 2;Дэвид Литч;США;боевик, кинокомикс, комедия, приключения, фантастика;2018;776;7.92;7
Пила 3;Даррен Линн Боусман;США;криминал, триллер, ужасы;2006;777;7.92;2
Убийца;Дени Вильнев;США;боевик, детектив, драма, криминал, триллер;2015;778;7.92;0
Васаби;Жерар Кравчик;Франция, Япония;боевик, драма, комедия, криминал, триллер;2001;779;7.92;0
Город ангелов;Брэд Силберлинг;США;драма, мелодрама, триллер, фэнтези;1998;780;7.92;1
Неизвестный;Жауме Кольет-Серра;США;боевик, детектив, драма, триллер;2011;781;7.91;0
Битлджус;Тим Бертон;США;комедия, фэнтези;1988;782;7.91;0
Дневник Бриджит Джонс;Шэрон Магуайр;Франция, Великобритания, США;драма, комедия, мелодрама;2001;783;7.91;0
Стажер;Нэнси Майерс;США;комедия;2015;784;7.91;0
Няньки;Джон Парагон;США;комедия, триллер;1994;785;7.91;0
Статский советник;Филипп Янковский;Россия;драма, криминал;2005;786;7.91;0
Полицейский из Беверли-Хиллз 2;Тони Скотт;США;боевик, комедия, криминал, триллер;1987;787;7.91;0
Аквамен;Джеймс Ван;Австралия, США;боевик, кинокомикс, приключения, фантастика;2018;788;7.9;5
Заклятие 2;Джеймс Ван;США;детектив, триллер, ужасы;2016;789;7.9;0
Мне бы в небо;Джейсон Рейтман;США;драма, комедия, мелодрама;2009;790;7.9;0
На крючке;Ди Джей Карузо;США;боевик, детектив, триллер;2008;791;7.9;0
Капитан Фантастик;Мэтт Росс;США;драма;2016;792;7.9;0
Гагарин. Первый в космосе;Павел Пархоменко;Россия;биографический, драма, исторический;2013;793;7.9;0
Не угаснет надежда;Джей Си Чендор;США;боевик, драма;2013;794;7.9;0
Хэнкок;Питер Берг;США;боевик, драма, комедия, фантастика;2008;795;7.89;0
Обитель зла;Пол В.С. Андерсон;Великобритания, Германия;боевик, триллер, ужасы, фантастика;2002;796;7.89;2
Тупой и еще тупее;Бобби Фаррелли, Питер Фаррелли;США;комедия, приключения;1994;797;7.89;0
Невероятная жизнь Уолтера Митти;Бен Стиллер;США;драма, комедия, мелодрама, приключения, фэнтези;2013;798;7.89;0
Заклятие;Джеймс Ван;США;детектив, триллер, ужасы;2013;799;7.89;1
Игра в имитацию;Мортен Тильдум;США;биографический, драма, триллер;2014;800;7.89;0
Дорога;Джон Хиллкоут;США;драма, триллер, фантастика;2009;801;7.89;0
Дом грез;Джим Шеридан;США;детектив, драма, триллер;2011;802;7.89;0
Величайший шоумен;Майкл Грэйси;США;биографический, драма, мюзикл;2017;803;7.89;0
Салют-7;Клим Шипенко;Россия;драма, исторический;2017;804;7.89;0
Дом летающих кинжалов;Чжан Имоу;Гонконг, Китай;боевик, драма, мелодрама, приключения, фэнтези;2004;805;7.89;0
Кристофер Робин;Марк Форстер;США, Великобритания;детский, драма, комедия, приключения, семейный, фэнтези;2018;806;7.89;2
Приют;Х.А. Байона;Испания, Мексика;детектив, драма, триллер, ужасы;2007;807;7.89;0
Обливион;Джозеф Косински;США;боевик, приключения, фантастика;2013;808;7.88;4
Джон Уик;Чад Стахелски, Дэвид Литч;США, Китай, Канада;боевик, триллер;2014;809;7.88;3
Смертельное оружие 4;Ричард Доннер;США;боевик, криминал, триллер;1998;810;7.88;0
Невидимка;Пол Верховен;США, Германия;боевик, драма, триллер, ужасы, фантастика;2000;811;7.88;0
Тонкая красная линия;Терренс Малик;США;боевик, военный, драма;1998;812;7.88;0
Фантастические твари и где они обитают;Дэвид Йэтс;США, Великобритания;детский, приключения, семейный, фэнтези;2016;813;7.87;2
Меняющие реальность;Джордж Нолфи;США;мелодрама, триллер, фантастика;2011;814;7.87;0
Крид: Наследие Рокки;Райан Куглер;США;драма, спорт;2015;815;7.87;2
Охотники на гангстеров;Рубен Фляйшер;США;драма, криминал;2013;816;7.87;2
Спасти мистера Бэнкса;Джон Ли Хэнкок;США, Великобритания, Австралия;биографический, драма, исторический, музыка;2013;817;7.87;1
Молчание;Мартин Скорсезе;США, Италия, Мексика;драма, исторический;2016;818;7.87;0
Заложник;Флоран Эмилио Сири;США, Германия;боевик, драма, криминал, триллер;2005;819;7.87;0
Война миров;Стивен Спилберг;США;боевик, приключения, триллер, фантастика;2005;820;7.86;0
Хроники Нарнии: Лев, Колдунья и Волшебный шкаф;Эндрю Адамсон;США;боевик, приключения, семейный, фэнтези;2005;821;7.86;0
Книга джунглей;Джон Фавро;США;детский, приключения, семейный, фэнтези;2016;822;7.86;4
Хеллбой: Герой из пекла;Гильермо Дель Торо;США;боевик, кинокомикс, приключения, фэнтези;2004;823;7.86;0
Ванильное небо;Кэмерон Кроу;США;детектив, драма, мелодрама, триллер, фантастика;2001;824;7.86;1
Древо жизни;Терренс Малик;США;драма;2011;825;7.86;1
Проект X: Дорвались;Нима Нуризаде;США;комедия;2012;826;7.86;0
Танго и Кэш;Андрей Кончаловский, Альберт Магноли;США;боевик, комедия, криминал, триллер;1989;827;7.86;0
Братство волка;Кристоф Ганс;Франция;боевик, детектив, исторический, ужасы;2001;828;7.86;0
Забирая жизни;Ди Джей Карузо;США, Канада, Австралия;детектив, драма, криминал, триллер, ужасы;2004;829;7.86;0
Вирус;Джон Бруно;США, Германия, Франция, Япония, Великобритания;боевик, триллер, ужасы, фантастика;1999;830;7.86;0
Джон Уик 2;Чад Стахелски;США;боевик;2017;831;7.85;2
Звездная пыль;Мэттью Вон;США, Великобритания;мелодрама, приключения, фэнтези;2007;832;7.85;0
Водный мир;Кевин Рейнольдс, Кевин Костнер;США;боевик, драма, приключения, триллер, фантастика;1995;833;7.85;0
Бэтмен возвращается;Тим Бертон;США, Великобритания;боевик, кинокомикс, криминал, триллер;1992;834;7.85;0
Зеркала;Александр Ажа;США, Румыния;детектив, триллер, ужасы;2008;835;7.85;0
Управление гневом;Питер Сигал;США;комедия, мелодрама;2003;836;7.85;0
Траффик;Стивен Содерберг;США, Мексика, Германия;драма, криминал, триллер;2000;837;7.85;0
Железный человек 2;Джон Фавро;США;боевик, кинокомикс, приключения, фантастика;2010;838;7.84;4
Пила 4;Даррен Линн Боусман;США, Канада;детектив, триллер, ужасы;2007;839;7.84;1
Гудзонский ястреб;Майкл Леманн;США;боевик, комедия, приключения;1991;840;7.84;0
В поисках приключений;Жан-Клод Ван Дамм;США;боевик, драма, приключения, триллер;1996;841;7.84;1
Бетховен;Брайан Левант;США;детский, драма, комедия, семейный;1992;842;7.84;0
Двойной удар;Шелдон Леттич;США;боевик, драма, криминал, триллер;1991;843;7.84;0
Изо всех сил;Менахем Голан;США;боевик;1987;844;7.84;0
Голос монстра;Х.А. Байона;США, Испания;драма, фэнтези;2016;845;7.84;0
Сбежавшая невеста;Гэрри Маршалл;США;комедия, мелодрама;1999;846;7.84;0
Видок;Питоф;Франция;детектив, драма, криминал, триллер, фэнтези;2001;847;7.84;0
Двойник дьявола;Ли Тамахори;Бельгия;биографический, боевик, драма;2011;848;7.84;1
Ночь в музее;Шон Леви;США, Великобритания;комедия, приключения, семейный, фэнтези;2006;849;7.83;0
Сокровище нации 2: Книга Тайн;Джон Тартелтауб;США;боевик, детектив, комедия, приключения, триллер;2007;850;7.83;0
Большие глаза;Тим Бертон;США;биографический, драма, криминал, мелодрама;2014;851;7.83;0
Тринадцатый этаж;Йозеф Руснак;США, Германия;детектив, мелодрама, триллер, фантастика;1999;852;7.83;0
Дэдпул;Тим Миллер;США;боевик, кинокомикс, комедия, приключения, фантастика;2016;853;7.82;3
Мистер и миссис Смит;Даг Лайман;США;боевик, комедия, мелодрама, триллер;2005;854;7.82;1
Схватка;Джо Карнахан;США;боевик, драма, приключения, триллер;2011;855;7.82;4
Из ада;Альберт Хьюз, Аллен Хьюз;США;детектив, кинокомикс, криминал, триллер, ужасы;2001;856;7.82;0
Бойфренд из будущего;Ричард Кертис;Великобритания;драма, комедия, фантастика;2013;857;7.82;0
Бриджит Джонс: Грани разумного;Бибан Кидрон;США, Германия, Франция, Великобритания, Ирландия;комедия, мелодрама;2004;858;7.82;0
Люди в черном 3;Барри Зонненфельд;США;боевик, кинокомикс, комедия, приключения, фантастика;2012;859;7.81;0
Довод;Кристофер Нолан;США, Великобритания;боевик, криминал, триллер, фантастика;2020;860;7.81;4
Пандорум;Кристиан Алверт;Великобритания, США, Германия;триллер, ужасы, фантастика;2009;861;7.81;1
Шпионский мост;Стивен Спилберг;США;биографический, драма, исторический, триллер;2015;862;7.81;1
50 первых поцелуев;Питер Сигал;США;драма, комедия, мелодрама;2004;863;7.81;0
Американский пирог 3: Свадьба;Джесси Дилан;Германия, США;комедия, мелодрама;2003;864;7.81;0
Ангел-А;Люк Бессон;Франция;драма, комедия, мелодрама, фэнтези;2005;865;7.81;0
Немыслимое;Грегор Джордан;США;драма, криминал, триллер;2010;866;7.81;0
Тревожный вызов;Брэд Андерсон;США;драма, криминал, триллер, ужасы;2013;867;7.81;0
Хроники Риддика;Дэвид Туи;США;боевик, приключения, триллер, фантастика;2004;868;7.8;0
Правила съема: Метод Хитча;Энди Теннант;США;комедия, мелодрама;2005;869;7.8;0
Детсадовский полицейский;Айван Рейтман;США;боевик, комедия, криминал, триллер;1990;870;7.8;0
Шесть дней, семь ночей;Айван Рейтман;США;боевик, комедия, мелодрама, приключения;1998;871;7.8;0
Телохранитель;Уильям Монахэн;США, Великобритания;драма, криминал, мелодрама;2010;872;7.8;0
Последний дом слева;Дэннис Илиадис;США;триллер, ужасы;2009;873;7.8;0
Мы - Миллеры;Роусон Маршалл Тербер;США, Великобритания;комедия, криминал;2013;874;7.79;0
Кловерфилд, 10;Дэн Трактенберг;США;боевик, детектив, драма, триллер, фантастика;2016;875;7.79;0
Приключения Паддингтона;Пол Кинг;Великобритания, Франция;комедия, приключения, семейный, фэнтези;2014;876;7.79;1
Нападение на 13-ый участок;Жан-Франсуа Рише;США, Франция;боевик, драма, криминал, триллер;2005;877;7.79;0
"База ""Клейтон""";Джон МакТирнан;США, Германия;боевик, детектив, драма, криминал, триллер;2003;878;7.79;0
Как трусливый Роберт Форд убил Джесси Джеймса;Эндрю Доминик;США;биографический, вестерн, драма, исторический, криминал;2007;879;7.79;0
101 далматинец;Стивен Херек;США;комедия, криминал, приключения, семейный;1996;880;7.78;0
Наемные убийцы;Ричард Доннер;США, Франция;боевик, криминал, триллер;1995;881;7.78;0
Птицы;Альфред Хичкок;США;триллер, ужасы;1963;882;7.78;0
Мартовские иды;Джордж Клуни;США;драма, триллер;2011;883;7.78;0
Гарри Поттер и принц-полукровка;Дэвид Йэтс;США, Великобритания;детектив, драма, мелодрама, приключения, фэнтези;2009;884;7.77;3
Афера по-американски;Дэвид О. Расселл;США;драма, криминал;2013;885;7.77;0
Джонни Д.;Майкл Манн;США;биографический, драма, исторический, криминал;2009;886;7.77;0
Воздушный маршал;Жауме Кольет-Серра;Великобритания, Франция, США, Канада;боевик, детектив, триллер;2014;887;7.77;0
Воды слонам!;Френсис Лоуренс;США;драма, мелодрама;2011;888;7.77;1
Рокки Бальбоа;Сильвестр Сталлоне;США;боевик, драма, спорт;2006;889;7.77;0
Человек на Луне;Дэмьен Шазелл;США;биографический, драма;2018;890;7.77;2
Кэрри;Брайан Де Пальма;США;драма, триллер, ужасы;1976;891;7.77;1
Человек из стали;Зак Снайдер;США, Канада;боевик, приключения, фантастика, фэнтези;2013;892;7.76;6
Варкрафт;Дункан Джонс;США;боевик, приключения, фантастика, фэнтези;2016;893;7.76;3
"Команда ""А""";Джо Карнахан;США;боевик, приключения, триллер;2010;894;7.76;0
План побега;Микаэль Хофстрем;США;боевик, криминал, триллер;2013;895;7.76;0
Тринадцать друзей Оушена;Стивен Содерберг;США;комедия, криминал, триллер;2007;896;7.76;0
Пила 6;Кевин Гротерт;Канада, США, Великобритания, Австралия;детектив, криминал, триллер, ужасы;2009;897;7.76;2
Перестрелка;Бен Уитли;Франция, Великобритания;боевик, драма, комедия, криминал;2016;898;7.76;0
Кролик Джоджо;Тайка Вайтити;Чехия, Новая Зеландия, США;военный, драма, комедия;2019;899;7.76;0
Манк;Дэвид Финчер;США;биографический, драма, нуар;2020;900;7.76;1
Пик Данте;Роджер Дональдсон;США;боевик, драма, приключения;1997;901;7.76;0
Форсаж 6;Джастин Лин;США;боевик, драма, криминал, триллер;2013;902;7.75;3
Стражи Галактики. Часть 2;Джеймс Ганн;США;боевик, кинокомикс, комедия, приключения, фантастика;2017;903;7.75;1
Рэмбо IV;Сильвестр Сталлоне;США, Германия;боевик, военный, триллер;2008;904;7.75;1
Линкольн;Стивен Спилберг;США, Индия;биографический, военный, драма, исторический;2012;905;7.75;0
Евротур;Джефф Шеффер, Алек Берг, Дэвид Мэндел;США;комедия, приключения;2004;906;7.75;0
Черный клановец;Спайк Ли;США;биографический, драма, комедия, криминал, триллер;2018;907;7.75;0
Армагеддон;Майкл Бэй;США;боевик, мелодрама, триллер, фантастика;1998;908;7.74;0
Двенадцать друзей Оушена;Стивен Содерберг;США;криминал, триллер;2004;909;7.74;0
Маска Зорро;Мартин Кэмпбелл;США;боевик, вестерн, комедия, мелодрама, приключения, триллер;1998;910;7.74;0
Красная жара;Уолтер Хилл;США;боевик, комедия, криминал, триллер;1988;911;7.74;0
Еще по одной;Томас Винтерберг;Дания;драма;2020;912;7.74;0
Опасный метод;Дэвид Кроненберг;Германия, Канада, Франция, Великобритания, Ирландия;биографический, драма, мелодрама, триллер;2011;913;7.74;1
Майор Пэйн;Ник Касл;США;комедия;1995;914;7.74;0
Полицейская академия 2: Их первое задание;Джерри Пэрис;США;комедия, криминал;1985;915;7.74;0
Газонокосильщик;Бретт Леонард;США, Япония, Великобритания;боевик, мелодрама, триллер, ужасы, фантастика;1992;916;7.74;0
Прометей;Ридли Скотт;США;боевик, ужасы, фантастика;2012;917;7.73;9
Третий лишний;Сет МакФарлейн;США;комедия, фэнтези;2012;918;7.73;2
Чужой 3;Дэвид Финчер;США;боевик, триллер, ужасы, фантастика;1992;919;7.73;0
Великий уравнитель;Антуан Фукуа;США;боевик, криминал, триллер;2014;920;7.73;0
Из машины;Алекс Гарленд;США, Великобритания;драма, триллер, фантастика;2014;921;7.73;3
Принц Персии: Пески времени;Майк Ньюэлл;США;боевик, мелодрама, приключения, фэнтези;2010;922;7.72;0
Пипец;Мэттью Вон;США;боевик, драма, кинокомикс, комедия;2010;923;7.72;1
Элизиум: Рай не на Земле;Нил Бломкэмп;США;боевик, триллер, фантастика;2013;924;7.72;4
Агенты А.Н.К.Л.;Гай Ричи;США;боевик, комедия, приключения;2015;925;7.72;2
Парфюмер: История одного убийцы;Том Тыквер;Германия, Франция, Испания;драма, криминал, триллер;2006;926;7.72;0
Возвращение героя;Ким Чжи Ун;США;боевик, триллер;2013;927;7.72;0
Эверест;Бальтасар Кормакур;США, Великобритания;драма, исторический, приключения, триллер;2015;928;7.72;1
Власть огня;Роб Боумен;США, Великобритания, Ирландия;боевик, приключения, триллер, фэнтези;2002;929;7.72;0
Защитник;Боаз Якин;США;боевик, криминал, триллер;2012;930;7.72;1
Рокки 3;Сильвестр Сталлоне;США;драма, спорт;1982;931;7.72;0
Предел риска;Джей Си Чендор;США;драма, триллер;2011;932;7.72;1
Другой мир 2: Эволюция;Лен Уайзман;США;боевик, триллер, ужасы, фэнтези;2006;933;7.71;0
Остров;Майкл Бэй;США;боевик, триллер, фантастика;2005;934;7.71;1
РЭД 2;Дин Паризо;США;боевик, кинокомикс, комедия, криминал, триллер;2013;935;7.71;1
Красные огни;Родриго Кортес;США, Испания;детектив, драма, триллер, ужасы, фэнтези;2012;936;7.71;0
Уцелевший;Питер Берг;США;биографический, боевик, военный, драма;2013;937;7.71;1
Гнев человеческий;Гай Ричи;Великобритания, США;боевик, триллер;2021;938;7.71;0
Чикаго;Роб Маршалл;США, Германия, Канада;драма, криминал, мюзикл;2002;939;7.71;1
Мисс Конгениальность;Дональд Питри;США, Австралия;детектив, комедия, криминал;2000;940;7.71;0
Крокодил Данди;Питер Фэймен;Австралия;комедия, приключения;1986;941;7.71;0
Убийца 2. Против всех;Стефано Соллима;Италия, США;боевик, драма, криминал, триллер;2018;942;7.71;0
В августе 44-го;Михаил Пташук;Россия;боевик, военный, детектив, драма, триллер;2001;943;7.71;0
Скотт Пилигрим против всех;Эдгар Райт, ;США;боевик, кинокомикс, комедия, мелодрама, приключения, фэнтези;2010;944;7.7;0
"Код доступа ""Кейптаун""";Дэниэл Эспиноза;США, ЮАР;боевик, триллер;2012;945;7.7;0
Призрак;Роман Полански;Германия, Франция, Великобритания;детектив, драма, триллер;2010;946;7.7;0
Транс;Дэнни Бойл;Великобритания, Франция, США;детектив, драма, криминал, триллер;2013;947;7.7;2
Анна Каренина;Джо Райт;Великобритания;драма, мелодрама;2012;948;7.7;2
Ворон;Джеймс МакТиг;США, Испания, Венгрия;детектив, триллер;2012;949;7.7;0
Маяк;Роберт Эггерс;Канада, США;драма, ужасы, фэнтези;2019;950;7.7;0
Сотовый;Дэвид Р. Эллис;США, Германия;боевик, криминал, триллер;2004;951;7.7;0
Джонни Мнемоник;Роберт Лонго;США, Канада;боевик, триллер, фантастика;1995;952;7.7;0
Поддубный;Глеб Орлов;Россия;биографический, драма, исторический, спорт;2014;953;7.7;0
Призрак и тьма;Стивен Хопкинс;США;боевик, драма, приключения, триллер, ужасы;1996;954;7.7;0
Закатать в асфальт;С. Крэйг Залер;Канада;боевик, детектив, драма, криминал, триллер;2018;955;7.7;0
Одним меньше;Нильс Арден Оплев;США;боевик, криминал, триллер;2013;956;7.7;0
Помни меня;Аллен Култер;США;драма, мелодрама;2010;957;7.69;0
Хищник 2;Стивен Хопкинс;США;боевик, криминал, приключения, триллер, ужасы, фантастика;1990;958;7.69;1
Пол: Секретный материальчик;Грег Моттола;Франция, Великобритания;комедия, приключения, фантастика;2011;959;7.69;0
Каратэ-пацан;Харольд Цварт;США;боевик, драма, семейный, спорт;2010;960;7.69;0
Совокупность лжи;Ридли Скотт;США;боевик, драма, триллер;2008;961;7.69;0
Стиратель;Чак Рассел;США;боевик, детектив, драма, триллер;1996;962;7.69;0
Напряги извилины;Питер Сигал;США;боевик, комедия, приключения;2008;963;7.69;0
Побег из Нью-Йорка;Джон Карпентер;США, Великобритания;боевик, криминал, приключения, триллер, фантастика;1981;964;7.69;0
Джобс: Империя соблазна;Джошуа Майкл Штерн;США;биографический, драма;2013;965;7.69;0
Тор;Кеннет Брана;США;боевик, драма, кинокомикс, приключения, фэнтези;2011;966;7.68;2
Мстители 2: Эра Альтрона;Джосс Уидон;США;боевик, кинокомикс, приключения, фантастика;2015;967;7.68;4
Мальчишник 2: Из Вегаса в Бангкок;Тодд Филлипс;США;комедия;2011;968;7.68;0
Судья Дредд;Пит Трэвис;Великобритания, США, Индия, ЮАР;боевик, кинокомикс, фантастика;2012;969;7.68;1
Двойной форсаж;Джон Синглтон;США, Германия;боевик, драма, криминал, триллер;2003;970;7.68;0
Расплата;Гэвин О`Коннор;США;боевик, драма, криминал, триллер;2016;971;7.68;0
Вики Кристина Барселона;Вуди Аллен;США, Испания;драма, комедия, мелодрама;2008;972;7.68;0
Роковое число 23;Джоэл Шумахер;США;детектив, драма, триллер;2007;973;7.68;0
Время;Эндрю Никкол;США;боевик, триллер, фантастика;2011;974;7.67;2
Снайпер;Клинт Иствуд;США;биографический, боевик, военный, драма;2014;975;7.67;2
После прочтения cжечь;Итан Коэн, Джоэл Коэн;США, Франция, Великобритания;драма, комедия, криминал;2008;976;7.67;0
Царь;Павел Лунгин;Россия;драма, исторический;2009;977;7.67;0
Человек-муравей;Пейтон Рид;США, Великобритания;боевик, кинокомикс, фантастика;2015;978;7.66;2
Три икса;Роб Коэн;США;боевик, приключения, триллер;2002;979;7.66;1
Пила 5;Дэвид Хэкл;США;боевик, детектив, криминал, триллер, ужасы;2008;980;7.66;0
Парк Юрского периода 2: Затерянный мир;Стивен Спилберг;США;боевик, приключения, триллер, фантастика;1997;981;7.65;0
Фредди против Джейсона;Ронни Ю;США, Италия;боевик, приключения, триллер, ужасы, фэнтези;2003;982;7.65;1
Короли улиц;Дэвид Эйер;США;драма, криминал, триллер;2008;983;7.65;0
Эвакуация;Сэм Харгрейв;США;боевик, драма;2020;984;7.65;0
Кошмар на улице Вязов 3: Воины сна;Чак Рассел;США;триллер, ужасы, фэнтези;1987;985;7.65;0
Такси 3;Жерар Кравчик;Франция;боевик, комедия, криминал;2003;986;7.64;0
Шпион;Пол Фейг;США;боевик, комедия;2015;987;7.64;0
Очень страшное кино 2;Кинен Айвори Уайанс;США, Канада;комедия;2001;988;7.64;0
"Пароль ""Рыба-меч""";Доминик Сена;США, Австралия;боевик, криминал, триллер;2001;989;7.64;0
Сделано в Америке;Даг Лайман;США;биографический, боевик, драма, исторический, комедия, криминал, триллер;2017;990;7.64;0
Код да Винчи;Рон Ховард;США;триллер;2006;991;7.63;1
Брестская крепость;Александр Котт;Россия, Беларусь;военный, драма, исторический;2010;992;7.63;0
Голая правда;Роберт Лукетич;США;комедия, мелодрама;2009;993;7.63;0
Однажды в Ирландии;Джон Майкл МакДона;Ирландия;комедия, криминал, триллер;2011;994;7.63;0
Иллюзия полета;Роберт Швентке;США;боевик, детектив, триллер;2005;995;7.63;0
Мамы;Дмитрий Дюжев, Карен Оганесян, Эльдар Салаватов, Сарик Андреасян, Тихон Корнев;Россия;комедия, мелодрама;2012;996;7.63;1
Секс по дружбе;Уилл Глак;США;драма, комедия, мелодрама;2011;997;7.62;0
Робот по имени Чаппи;Нил Бломкэмп;США, Мексика;комедия, фантастика;2015;998;7.62;1
13-й район;Пьер Морель;Франция;боевик, криминал, фантастика;2004;999;7.62;0
Пекло;Дэнни Бойл;США, Великобритания;приключения, триллер, фантастика;2007;1000;7.62;0
